*.json|
10008 Mesita |32.738817|-96.6516259
10200 Walton |32.7780382|-96.91630959999999
10222 N. Walt|32.7780382|-96.91630959999999
10316 Sandra |32.838289|-96.65628699999999
10333 Technol|32.863133|-96.89794499999999
10834 Ferguso|32.8438082|-96.66295749999999
11200 Woodmea|32.851792|-96.646496
1170 N. Prair|32.732129|-96.66558649999999
11700 Audelia|32.9081226|-96.71727829999999
1180 N. St. A|32.7323596|-96.656922
11819 Webb Ch|32.9104375|-96.874471
1200 Shaw Str|32.7855003|-96.84114300000002
12100 Bellafo|32.9132966|-96.7615086
12121 Audelia|32.9137078|-96.7226467
1221 S. Lamar|32.7682921|-96.7974259
12222 Merit D|32.9140139|-96.7714894
1228 Oak Park|32.688844|-96.844421
12670 E. Nort|32.862898|-96.662881
12700 Kleberg|32.67207|-96.62018499999999
1300 N. Munge|32.8056656|-96.7688646
13015 Audelia|32.92476|-96.719088
13030 Audelia|32.9243446|-96.7175216
1339 Morrell |32.739419|-96.803876
13739 N. Cent|32.9367395|-96.75225859999999
1400 N. Garre|32.8057965|-96.77122899999999
14500 Dallas |32.9455035|-96.8223798
14655 Preston|32.9477198|-96.804566
1515 S. Buckn|32.7380615|-96.6838211
1521 N. Cockr|32.7651506|-96.8969218
1524 E. Misso|32.717745|-96.80203399999999
1550 Empire C|32.825673|-96.864407
1613 Monte Ca|32.706125|-96.846425
1639 Conner D|32.740732|-96.681455
1700 Martin L|32.7619939|-96.776683
1750 Regal Ro|32.8363166|-96.8708386
17601 Marsh L|32.9905306|-96.856301
18081 Midway |32.9953425|-96.8441892
1818 N. Akard|32.786698|-96.801885
18220 Dallas |32.9985843|-96.8285958
1900 Empire C|32.8258067|-96.85706859999999
200 Ezekial S|32.7148354|-96.7106613
200 S Madison|32.7441357|-96.8264688
200 S. Pearl |32.7828431|-96.7924381
200 S. Stemmo|32.9688516|-96.91900539999999
2000 Campfire|32.6828374|-96.8554996
2000 Commerce|32.7809527|-96.79396360000001
2000 Edd Road|32.6789224|-96.6089758
2000 Pacific |32.7831728|-96.79458299999999
2015 Ferndale|32.725267|-96.853393
208 Glencairn|32.657701|-96.824975
2100 N. Lamar|32.784661|-96.80779799999999
2208 N. Carro|32.80637180000001|-96.7845001
2208 W. North|32.8637872|-96.8990069
2209 Northwes|32.8644903|-96.8982765
222 N. Barnet|32.7472179|-96.87102399999999
2242 Zang Bou|32.7208691|-96.829557
2287 W. North|32.862641|-96.8911229
230 S. Riverf|32.7755045|-96.8132117
2310 Martin L|32.7643874|-96.77303900000001
2400 Walnut H|32.8810081|-96.8980336
2415 Madera S|32.815954|-96.7786239
2500 Wells St|32.7396632|-96.75418119999999
2502 Grand Av|32.768664|-96.77459700000001
2505 Pacific |32.7848377|-96.7893912
2514 Tristian|32.717996|-96.910693
2550 W. Redbi|32.6699846|-96.85970669999999
2600 Grand Av|32.7697398|-96.7738565
2600 Walnut H|32.8810299|-96.890298
2700 Medill S|32.7752948|-96.7673241
2700 Springda|32.7685922|-96.75092629999999
2711 Exline S|32.7578234|-96.7573089
2728 McKinnon|32.7946052|-96.8069335
2745 Ivandell|32.7368049|-96.865438
2745 W. North|32.8584366|-96.8743133
2800 Indiana |32.7853923|-96.7838281
2800 N. St. A|32.7593017|-96.6568516
2802 Materhor|32.828359|-96.66649799999999
